,City ID,City Name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
0,1489853,Tazovsky,9,RU,1658884078,78,67.4667,78.7,49.87,7.14
1,897045,Solwezi,8,ZM,1658884079,61,-12.1688,26.3894,50.67,3.8
2,5870133,Nome,100,US,1658884079,71,64.5011,-165.4064,48.27,14.97
3,3466980,Caravelas,2,BR,1658883917,78,-17.7125,-39.2481,70.66,7.09
4,1028434,Quelimane,9,MZ,1658884079,81,-17.8786,36.8883,62.69,3.65
5,3421193,Paamiut,19,GL,1658884079,94,61.994,-49.6678,41.74,18.32
6,6165406,Thompson,97,CA,1658883875,81,55.7435,-97.8558,57.78,6.69
7,5364271,Laguna,0,US,1658884080,31,38.421,-121.4238,99.32,16.11
8,3372707,Ribeira Grande,14,PT,1658883840,86,38.5167,-28.7,74.1,7.94
9,2013279,Vostok,18,RU,1658884080,61,46.4856,135.8833,76.26,5.28
10,368246,Raja,100,SS,1658884081,97,8.4596,25.678,68.2,5.79
11,3372964,Lagoa,8,PT,1658884062,89,39.05,-27.9833,72.84,11.43
12,2126785,Belaya Gora,27,RU,1658884081,39,68.5333,146.4167,59.56,13.11
13,3418910,Upernavik,94,GL,1658884081,88,72.7868,-56.1549,38.07,8.59
14,3833367,Ushuaia,37,AR,1658883844,90,-54.8,-68.3,24.94,5.91
15,5106841,Albany,0,US,1658884051,72,42.6001,-73.9662,67.89,4.36
16,104515,Makkah al Mukarramah,99,SA,1658884069,58,21.4267,39.8261,86.47,4.0
17,1714733,Dingle,75,PH,1658884082,77,10.9995,122.6711,84.38,8.79
18,3366880,Hermanus,74,ZA,1658883848,85,-34.4187,19.2345,55.35,0.76
19,1006984,East London,14,ZA,1658884082,43,-33.0153,27.9116,64.4,4.7
20,4588165,Mt. Pleasant,0,US,1658883918,80,32.7941,-79.8626,84.34,10.36
21,3443061,Chui,25,UY,1658883931,96,-33.6971,-53.4616,58.91,6.17
22,8079926,Labuhan,24,ID,1658883996,72,-6.8844,112.2051,78.94,7.81
23,3761194,Miraflores,96,MX,1658884083,82,19.2167,-98.8083,66.87,3.29
24,3728097,Les Cayes,74,HT,1658884083,79,18.2,-73.75,79.81,6.06
25,2074865,Carnarvon,100,AU,1658884083,37,-24.8667,113.6333,65.61,6.02
26,3874787,Punta Arenas,0,CL,1658884084,86,-53.15,-70.9167,30.31,13.8
27,5546220,Saint George,0,US,1658883848,29,37.1041,-113.5841,96.64,9.22
28,3838233,Salta,42,AR,1658884072,77,-24.7859,-65.4117,65.57,1.01
29,6201424,Mataura,100,NZ,1658883840,97,-46.1927,168.8643,47.48,5.66
30,6185377,Yellowknife,7,CA,1658883849,50,62.456,-114.3525,66.4,7.61
31,4020109,Atuona,20,PF,1658884084,76,-9.8,-139.0333,77.22,16.06
32,4032243,Vaini,100,TO,1658884059,72,-21.2,-175.2,73.92,12.5
33,2537881,Safi,1,MA,1658884085,78,32.2994,-9.2372,73.04,15.23
34,2126199,Cherskiy,14,RU,1658883990,45,68.75,161.3,52.84,8.81
35,1651810,Airai,66,TL,1658884085,47,-8.9266,125.4092,66.96,5.19
36,5282297,Bethel,0,US,1658884085,64,41.3712,-73.414,73.76,3.44
37,1495626,Pangody,52,RU,1658884086,82,65.85,74.4859,50.88,6.55
38,934322,Mahébourg,21,MU,1658884086,76,-20.4081,57.7,68.25,11.77
39,5848280,Kapaa,75,US,1658883913,72,22.0752,-159.319,85.98,10.36
40,2075265,Busselton,100,AU,1658884086,77,-33.65,115.3333,53.1,8.03
41,572070,Borovsk,5,RU,1658884087,94,55.2064,36.4861,62.62,1.99
42,2036973,Heihe,21,CN,1658884087,62,50.2441,127.4902,75.78,8.79
43,5122534,Jamestown,0,US,1658883846,72,42.097,-79.2353,67.64,5.75
44,2055868,Yantal',100,RU,1658884087,70,56.8471,105.2542,62.1,7.27
45,2036519,Jidong,0,CN,1658884088,72,45.2167,131.0833,80.56,2.48
46,3424607,Tasiilaq,100,GL,1658884088,94,65.6145,-37.6368,39.36,2.8
47,3430863,Mar del Plata,100,AR,1658884088,98,-38.0023,-57.5575,54.09,5.75
48,599808,Dotnuva,100,LT,1658884089,98,55.35,23.9,61.02,5.66
49,1168312,Pasni,100,PK,1658884089,84,25.2631,63.471,81.73,7.54
50,2214432,Nālūt,0,LY,1658884089,17,30.3333,10.85,79.59,9.48
51,1055059,Tsaratanana,1,MG,1658884089,85,-16.7833,47.65,61.16,7.18
52,2630299,Hofn,100,IS,1658883855,92,64.2539,-15.2082,50.07,2.04
53,546105,Nikolskoye,100,RU,1658884090,91,59.7035,30.7861,66.79,5.01
54,4676740,Brownsville,0,US,1658884090,69,25.9018,-97.4975,89.1,17.27
55,4946620,Palmer,0,US,1658884080,75,42.1584,-72.3287,70.86,3.78
56,2034615,Tahe,100,CN,1658883920,66,52.3333,124.7333,78.87,6.04
57,2206939,Bluff,100,NZ,1658884091,91,-46.6,168.3333,47.8,20.36
58,1651103,Atambua,59,ID,1658884091,52,-9.1061,124.8925,78.15,5.19
59,4030556,Rikitea,55,PF,1658883928,73,-23.1203,-134.9692,75.04,8.88
60,4031742,Egvekinot,100,RU,1658884091,60,66.3167,-179.1667,44.76,3.22
61,964420,Port Elizabeth,43,ZA,1658883912,69,-33.918,25.5701,61.32,15.01
62,2381972,Adrar,5,MR,1658884092,18,20.5022,-10.0711,97.84,10.65
63,5380437,Pacific Grove,0,US,1658884092,79,36.6177,-121.9166,71.38,12.66
64,3652764,Puerto Ayora,100,EC,1658884092,92,-0.7393,-90.3518,69.55,1.99
65,5917349,Carnduff,100,CA,1658884093,76,49.1667,-101.8009,61.38,7.43
66,2030065,Mandalgovi,0,MN,1658884093,59,45.7625,106.2708,57.45,11.83
67,515246,Onega,99,RU,1658884093,90,63.9061,38.1404,61.97,7.65
68,935215,Saint-Philippe,56,RE,1658884093,85,-21.3585,55.7679,65.79,11.21
69,360630,Cairo,0,EG,1658883947,69,30.0626,31.2497,79.56,6.91
70,1293960,Taunggyi,12,MM,1658884087,86,20.7833,97.0333,67.87,0.4
71,6170031,Tuktoyaktuk,100,CA,1658884053,49,69.4541,-133.0374,57.52,24.27
72,986717,Kruisfontein,99,ZA,1658883995,72,-34.0033,24.7314,55.96,17.34
73,2063036,Port Lincoln,100,AU,1658883922,67,-34.7333,135.8667,57.49,16.62
74,5855927,Hilo,100,US,1658884094,86,19.7297,-155.09,89.28,5.75
75,2303611,Esim,97,GH,1658884094,88,4.8699,-2.2405,75.6,10.94
76,556268,Ostrovnoy,97,RU,1658884095,73,68.0531,39.5131,60.4,19.75
77,2171069,Colac,100,AU,1658884095,93,-38.3333,143.5833,51.17,10.13
78,3855065,General Roca,100,AR,1658884095,93,-39.0333,-67.5833,40.62,10.67
79,3467860,Campina Verde,0,BR,1658884096,40,-19.5356,-49.4864,68.25,4.34
80,2163355,Hobart,20,AU,1658884086,70,-42.8794,147.3294,54.27,10.36
